,Unnamed: 0,user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
0,0,ff05218f-84df-4676-9a70-dc26a4845cc3,proj22,proj22,manager,2.0,proj31task1a,dept4,False,schedule,proj11,dept8,1.0,False,proj62task2propa,setStatus,False
1,1,9c718d45-a1c5-4124-ba89-1ed4396ba617,proj12,proj12,manager,1.0,proj71task1a,,False,budget,proj11,dept6,,True,proj42task1a,read,False
2,2,238205de-7852-41eb-acc5-994968ad59d8,proj22,,manager,1.0,proj41task1a,,False,schedule,proj12,dept6,,False,proj62task1a,setCost,False
3,3,ac719de4-4648-496d-8037-7c0a480b8653,proj21,,manager,,proj72task1a,dept5,True,task,proj21,dept6,1.0,True,proj61task1propa,request,False
4,4,3641d0e3-da6d-4994-a3d3-1e8943da4b17,proj22,proj22,manager,,proj61task1a,dept5,False,schedule,proj22,dept7,,False,proj32task2propa,setCost,False
5,5,42ad23d8-1262-4827-ab99-43d36f6ef8e1,proj21,,manager,2.0,proj32task1propa,,True,schedule,proj22,dept4,2.0,True,proj73task2propa,request,False
6,6,d91a6359-934e-42aa-868e-a00463959d00,proj21,proj21,manager,,proj61task2propa,dept6,False,schedule,proj22,dept6,2.0,True,proj72task1propa,setStatus,False
7,7,84ae43d2-8856-422a-876b-f08700346245,proj12,,manager,,proj51task1a,,False,task,proj22,dept3,1.0,True,proj41task2a,approve,False
8,8,c3b57dc4-eb1a-4922-a246-0ef35c198ed5,proj22,,manager,,proj22task2propa,dept3,False,budget,proj21,dept7,2.0,False,proj61task1propa,request,False
9,9,11d7604f-728f-4762-8803-1ff888e09771,proj12,proj12,manager,,proj72task2a,dept6,False,task,proj21,dept8,,True,proj73task2a,setSchedule,False
10,10,6cceefe3-6811-4a8d-a8f6-48ae327896db,proj22,proj22,manager,1.0,proj62task2propa,dept5,False,task,proj21,dept4,,False,proj61task1propa,request,False
11,11,293ac506-57cc-4a2f-bba2-575d7e70267d,proj12,proj12,manager,,proj31task1a,dept5,True,schedule,proj11,dept3,1.0,False,proj62task1a,read,False
12,12,91d54b9f-d8b3-461e-8779-4488c76ee517,proj21,,manager,2.0,proj51task1a,dept7,True,budget,proj22,dept3,,True,proj51task1propa,setCost,False
13,13,3fda7565-c724-477e-98df-3f87aa28a03d,proj11,proj11,manager,,proj71task2propa,dept8,False,schedule,proj22,dept5,1.0,False,proj51task1a,setCost,False
14,14,5f203aca-ee35-4f76-b293-fe2194196346,proj11,proj11,manager,1.0,proj71task1a,dept4,True,task,proj12,dept8,,False,proj61task2propa,setCost,False
15,15,48c401a5-6f3f-4eff-afd8-3fa8ad174a51,proj21,,manager,2.0,proj42task2a,dept3,False,task,proj22,dept3,1.0,True,proj42task2propa,setCost,False
16,16,98ad106d-fce4-48e9-9598-8f7e528be1fb,proj22,proj22,manager,,proj52task1a,,False,budget,proj22,dept4,1.0,False,proj72task1a,setStatus,False
17,17,11ee0f42-55a3-4589-bf01-84887923c156,proj11,proj11,manager,2.0,proj72task1propa,,True,task,proj11,dept6,,True,proj52task2a,read,False
18,18,42ac07e1-5222-47a0-b5c3-c531834fc12a,proj11,,manager,2.0,proj73task1propa,,True,task,proj12,dept6,,True,proj42task2propa,approve,False
19,19,0cedb35a-2584-4c19-a9ef-4ccdc6210b38,proj11,,manager,2.0,proj71task1a,dept8,True,task,proj22,dept3,,True,proj41task1propa,setSchedule,False
20,20,94a969d1-29cd-4834-8f3d-f9612e910478,proj11,,manager,,proj42task2propa,dept3,False,schedule,proj22,dept4,,True,proj52task1a,request,False
21,21,e8292153-11cb-41cc-b363-e1b821a32b9b,proj11,proj11,manager,,proj52task1propa,,True,task,proj11,dept8,,True,proj51task2propa,setStatus,False
22,22,d856d0e9-bb09-4896-91e3-2185d8e59074,proj21,proj21,manager,2.0,proj52task2a,dept3,True,budget,proj22,dept7,1.0,False,proj32task2propa,setStatus,False
23,23,7efee434-a178-4dad-9243-d71548e901c5,proj21,,manager,2.0,proj51task1propa,,True,schedule,proj12,dept8,2.0,False,proj32task1propa,write,False
24,24,ff38bf7b-e198-4db0-94ef-f222816236bd,proj22,proj22,manager,1.0,proj72task1propa,,True,schedule,proj22,dept5,,True,proj61task2propa,write,False
25,25,d9c02cef-dee1-44ab-9b31-39b1c79492be,proj21,,manager,,proj52task2propa,,False,budget,proj22,dept5,1.0,True,proj52task2a,setCost,False
26,26,364db2c1-c736-4b51-998f-25ae96e73462,proj11,proj11,manager,,proj52task1propa,,False,schedule,proj12,dept5,,True,proj52task1propa,request,False
27,27,3dbd6e88-33d6-4fff-830c-6fc837c25436,proj12,proj12,manager,,proj22task2propa,dept4,True,schedule,proj21,dept5,1.0,True,proj51task1a,setSchedule,False
28,28,7d5d451f-b83d-43dd-ba10-bc0244269b63,proj12,,manager,2.0,proj72task2a,dept5,False,schedule,proj22,dept5,1.0,False,proj41task1propa,read,False
29,29,cb6aeaf1-1762-405a-a949-048eedf313ca,proj11,proj11,manager,,proj61task1a,dept4,True,budget,proj11,dept8,1.0,False,proj51task1propa,request,False
30,30,7daa1c84-10ef-4c10-9ce0-c90572637dd8,proj22,,manager,1.0,proj22task2propa,dept5,False,task,proj21,dept5,,True,proj72task2propa,setCost,False
31,31,43fc85e6-afd7-48aa-9218-027fde7dd9b8,proj21,proj21,manager,1.0,proj41task2a,dept6,False,task,proj21,dept4,,False,proj51task1propa,setCost,False
32,32,857c8027-7f03-4aac-afd5-57c290f6f916,proj11,,manager,1.0,proj73task1propa,dept6,True,task,proj12,dept8,,False,proj62task1a,setCost,False
33,33,a63cdebe-c77b-4103-a0cb-3d1b9edfcfbb,proj12,,manager,1.0,proj32task1propa,dept7,True,budget,proj21,dept6,2.0,False,proj61task1a,write,False
34,34,520cf3f0-d65c-4d07-949c-0b1ec649a133,proj12,,manager,,proj42task2a,dept4,True,budget,proj22,dept5,2.0,True,proj41task2propa,setSchedule,False
35,35,b4656f2c-4134-44fd-a688-63fe27783362,proj22,proj22,manager,,proj72task2propa,dept5,True,task,proj12,dept8,,False,proj72task1a,request,False
36,36,f2ddae07-f75b-442a-a0ea-6bd9c6d63ce9,proj11,proj11,manager,,proj73task2a,,True,task,proj11,dept4,2.0,True,proj52task2a,write,False
37,37,1bd9bae6-ece5-4c84-9ece-12fd3c6d7f08,proj11,,manager,,proj62task1propa,,False,task,proj21,dept7,1.0,True,proj32task1propa,request,False
38,38,6b7efda1-07c3-4144-ba4e-fb51e7f249a1,proj22,,manager,,proj61task1propa,dept5,True,budget,proj12,dept8,,True,proj71task2a,approve,False
39,39,b57f29aa-7baa-496d-8980-f46c2897a5ba,proj12,,manager,2.0,proj73task2a,dept8,False,task,proj22,dept8,,True,proj32task2propa,read,False
